id,city,name,latitude,longitude,pickup_phone,pickup_time
2011,Київ,"вул. Богдана Гаврилишина, 6",50.4528407,30.4687437,380675729088,ПН - НД 8:00 - 21:00
3041,Львів,"вул. Богдана Хмельницького, 188",49.8628,24.052167,380979570173,ПН - НД 8:00 - 21:00
3105,Клевань,"вул. Богдана Хмельницького, 41-А",50.74426,25.96955,380967501182,ПН - НД 8:00 - 21:00
2141,Літин,"вул. Богдана Хмельницького, 1",49.329163,28.08229,380671311863,ПН - НД 8:00 - 20:00
2661,м. Рожище,"площа Богдана Хмельницького, 1",50.91662,25.27199,380970002417,ПН - НД 9:00 - 20:00
2555,Дніпро,"просп. Богдана Хмельницького, 10",48.44382,35.024717,380970002139,ПН - НД 8:00 - 21:00
332,Чигирин,"вул. Богдана Хмельницького, 11",49.081338,32.659254,380673019972,ПН - НД 8:00 - 21:00
707,Дніпро,"просп. Богдана Хмельницького, 113",48.408666,35.001532,380671417865,ПН - НД 7:00 - 21:00
2859,Жовті Води,"вул. Богдана Хмельницького, 23",48.3444256,33.50954651,380674224275,ПН - НД 8:00 - 20:00
669,Дніпро,"просп. Богдана Хмельницького, 36-А",48.424756,35.011183,380677004618,ПН - НД 8:00 - 21:00
526,Тараща,"вул. Богдана Хмельницького, 59",49.557377,30.504097,380673782475,ПН - НД 7:30 - 20:30
784,Миколаїв,"просп. Богоявленський, 33",46.947895,32.03428,380671762499,ПН - НД 8:00 - 21:00
2337,Миколаїв,"просп. Богоявленський, 342/2",46.85588,32.01587,380673588461,ПН - НД 8:00 - 21:00
2912,Бар,"вул. Бони Сфорци, 1-1",49.069421,27.67157,380671033275,ПН - НД 8:00 - 21:00
2673,Київ,"вул. Бориспільська, 34",50.424541,30.687777,380970002975,ПН - НД 8:00 - 21:00
2366,Запоріжжя,"вул. Бородінська, 7",47.8840926,35.073073,380671756148,ПН - НД 8:00 - 20:00
2235,Глеваха,"вул. Ботанічна, ",50.257626,30.305847,380672614962,ПН - НД 8:00 - 20:00
2489,Запоріжжя,"вул. Бочарова, 3",47.843337,35.225148,380671082876,ПН - НД 8:00 - 20:00
493,Конотоп,"вул. Братів Лузанів, 47",51.23735,33.209698,380675483815,ПН - НД 8:00 - 20:00
2234,Конотоп,"вул. Братів Лузанів, 51",51.236515,33.210763,380672794469,ПН - НД 8:00 - 20:00
968,Конотоп,"вул. Братів Лузанів, 56",51.237145,33.209054,380675020370,ПН - НД 8:00 - 20:00
2808,Київ,"вул. Братства Тарасівців, 9-Е",50.403078,30.654054,380671054262,ПН - НД 9:00 - 21:00
2272,Любешів," вул. Брестська, 10-А",51.76525,25.50384,380979593807,ПН - НД 8:00 - 21:00
412,Ковель,"вул. Брестська, 5-А",51.219313,24.692444,380979917236,ПН - НД 8:00 - 21:00
218,Суми,"вул. Британська, 41",50.922269,34.79839,380675576259,ПН - НД 8:00 - 20:00
2164,Требухів,"вул. Броварська, 2-А",50.485451,30.894904,380672941728,ПН - НД 8:00 - 21:00
2876,Одеса,"вул. Бугаївська, 23",46.472258,30.699969,380979573924,ПН - НД 8:00 - 21:00
2039,Добротвір,"вул. Будівельна, 7",50.207273,24.386933,380671389102,ПН - НД 8:00 - 20:00
3092,Кам'янське,"бульв. Будівельників, 39-А",48.603364091543305,34.5765415296105,380979077635,ПН - НД 9:00 - 21:00
569,Очаків,"вул. Будівельників, 18",46.623568,31.526038,380670079950,ПН - НД 8:00 - 20:00
